short_name,AKBNK,ARCLK,ASELS,BIMAS,DOHOL,EKGYO,EREGL,FROTO,GARAN,GUBRF,HALKB,ISCTR,KCHOL,KOZAA,KOZAL,KRDMD,PETKM,PGSUS,SAHOL,SASA,SISE,TAVHL,TCELL,THYAO,TKFEN,TTKOM,TUPRS,VAKBN,VESTL,YKBNK
AKBNK,,0.927586503206565,0.9603335917124187,0.9565075973702429,0.9521714488613626,0.9170572925014514,,0.941890913240258,0.9926187726368645,0.928497575498444,,0.9874282305265776,0.9829700448734875,0.9043186478684089,0.9156342435417852,,,0.9730818805273751,0.9683178557481086,,0.9279588943621161,0.9568574009361746,0.9640007102076189,0.978084307808341,0.9278159473705371,0.9149329912221288,0.9787156442159367,0.9454688109117356,,0.9858912939353367
ARCLK,0.927586503206565,,0.9664644897373017,0.9449997723144549,0.9733634926099072,0.9485393135884237,0.9394711092623971,0.9855670597567486,0.9381931488987666,0.9694832895295755,,0.9415475602218536,0.9682250340612748,0.9777595094455884,0.958446746604552,0.9810867412864599,0.9679861300236592,0.9630113389998584,0.9803001066869966,0.9344224268673964,0.9852984057412643,0.9702279823891923,0.966941288758517,0.9556574652575957,0.921665323999705,0.9666608842768781,0.9423260375510266,,0.9469747668717117,0.9575736840774915
ASELS,0.9603335917124187,0.9664644897373017,,0.9605272805054584,0.984010061682805,0.962342903645116,,0.9694254794788975,0.9567713737280669,0.9781743073246654,,0.9657285255966549,0.9785215183930676,0.9617881102573584,0.9665740781012713,0.9467324428008619,0.948654872833345,0.9764330072339038,0.9809747020259633,0.9097175701636996,0.9669493174686432,0.9609643626206051,0.9856503321832969,0.9756195331592723,0.9301251524048574,0.9681600199229919,0.9652999743327496,0.9010064682827117,0.9333153221498597,0.9744413219239417
BIMAS,0.9565075973702429,0.9449997723144549,0.9605272805054584,,0.9698648710121728,,,0.963754734932927,0.9677800645139845,0.9549766274749896,,0.969043660181818,0.9785201998487565,0.9341888357785544,0.9061202842045226,0.927172632252274,0.9187026698939145,0.956820265054113,0.9580948827715489,,0.9317007190826474,0.9463947911426688,0.9714204675241959,0.951404266709565,,0.9151358382220302,0.9680680198310767,,,0.9704278550343293
DOHOL,0.9521714488613626,0.9733634926099072,0.984010061682805,0.9698648710121728,,0.9585061046696057,,0.9804774986157939,0.9569337045711684,0.9880376666647918,,0.9625056600421038,0.9801252631094044,0.9683193252789172,0.9725534703651699,0.9498578625453499,0.9495845276679898,0.9827190120501799,0.9820691870736412,0.9229162007873738,0.9713765580699834,0.9644132411573164,0.9840133002204163,0.9716701096120386,0.9238575979668842,0.9697626720067409,0.9569632484506801,,0.9497540954736332,0.9739301370664256
EKGYO,0.9170572925014514,0.9485393135884237,0.962342903645116,,0.9585061046696057,,,0.9391872407822713,0.9132147309982203,0.9595439770107681,,0.9216265522069905,0.935447628287665,0.9470473163662356,0.9780176432595792,0.9195205161129372,0.94252182205303,0.9599460911482801,0.9699129365594701,0.9517650579042837,0.9729516089537247,0.9478234489379395,0.9465675194913884,0.9603905535855379,0.927384453713892,0.9712441516116812,0.9054796726099964,,0.9395857552697103,0.943501871915385
EREGL,,0.9394711092623971,,,,,,0.9047660247508184,,,,,,0.9385244719783096,,0.9591874687393754,0.9561696732947592,,,0.9036841991618264,0.925723169869444,,,,,0.9096609278865398,,,0.9356755189640295,
FROTO,0.941890913240258,0.9855670597567486,0.9694254794788975,0.963754734932927,0.9804774986157939,0.9391872407822713,0.9047660247508184,,0.9534798587426224,0.975309537472579,,0.9479719660199697,0.9822549561846649,0.9634639857650276,0.9529944434624013,0.9722154871958121,0.9469622433787818,0.9753773326768677,0.9790018218330547,0.9233887634008877,0.9707280124325844,0.9632201556774785,0.9766338814220726,0.9682349910180995,0.9050496250135611,0.9519297911487883,0.9481382131541647,,0.9304910268516711,0.9650140114845112
GARAN,0.9926187726368645,0.9381931488987666,0.9567713737280669,0.9677800645139845,0.9569337045711684,0.9132147309982203,,0.9534798587426224,,0.9347387681985976,,0.983067793774708,0.9856970097072371,0.9159690072079695,0.9119743674899133,0.9062854259821371,0.9086742551437664,0.9750142683463189,0.9724687640928608,,0.9340956923280718,0.9637764972821682,0.9707793701970924,0.9772241981195918,0.9210500193444402,0.9190448768990034,0.97563704690573,0.9233722370212302,,0.9855391956928273
GUBRF,0.928497575498444,0.9694832895295755,0.9781743073246654,0.9549766274749896,0.9880376666647918,0.9595439770107681,,0.975309537472579,0.9347387681985976,,,0.944282539996352,0.9667276335339715,0.9745162371873438,0.9719731980079386,0.9568963806338688,0.9600690289948386,0.9670810411408601,0.9729045765091701,0.9296601646953236,0.9685004530872626,0.9557098382166354,0.9776262155127112,0.9587232641397423,0.9184013619927835,0.9714738912816465,0.9394559331839063,,0.9635178060936076,0.9595181150546973
